DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/16/2025 12:00,16/11 12:00,428.43,429,427,112.78,57.62,10,47.62,0,1
11/16/2025 13:00,16/11 13:00,428.43,429,427,118.94,92.14,50,42.14,0,1
11/16/2025 14:00,16/11 14:00,428.43,429,427,106.65,98,50,48,0,1
11/16/2025 15:00,16/11 15:00,428.43,429,427,122.38,118,70,48,0,2
11/16/2025 16:00,16/11 16:00,428.43,429,427,120.47,118,70,48,0,2
11/16/2025 17:00,16/11 17:00,428.45,429,427,135.22,118,70,48,0,2
11/16/2025 18:00,16/11 18:00,428.47,429,427,140.78,118,70,48,0,2
11/16/2025 19:00,16/11 19:00,428.5,429,427,146.25,118,70,48,0,2
11/16/2025 20:00,16/11 20:00,428.53,429,427,147.83,118,70,48,0,2
11/16/2025 21:00,16/11 21:00,428.56,429,427,148.59,118,70,48,0,2
11/16/2025 22:00,16/11 22:00,428.6,429,427,152.67,118,70,48,0,2
11/16/2025 23:00,16/11 22:00,428.6,429,427,152.67,118,70,48,0,2
11/17/2025 0:00,17/11 00:00,428.67,429,427,147.86,118,70,48,0,2
11/17/2025 1:00,17/11 01:00,428.7,429,427,142.63,116.8,70,46.8,0,2
11/17/2025 2:00,17/11 02:00,428.72,429,427,138.57,115.96,70,45.96,0,2
11/17/2025 3:00,17/11 03:00,428.75,429,427,141.29,117.94,70,47.94,0,2
11/17/2025 4:00,17/11 04:00,428.77,429,427,139.55,118,70,48,0,2
11/17/2025 5:00,17/11 05:00,428.8,429,427,142.83,118,70,48,0,2
11/17/2025 6:00,17/11 06:00,428.83,429,427,143.76,118,70,48,0,2
11/17/2025 7:00,17/11 07:00,428.85,429,427,138.95,118,70,48,0,2
11/17/2025 8:00,17/11 08:00,428.85,429,427,120.86,118,70,48,0,2
11/17/2025 9:00,17/11 09:00,428.85,429,427,119.41,118,70,48,0,2
11/17/2025 10:00,17/11 10:00,428.85,429,427,120.08,118,70,48,0,2
11/17/2025 11:00,17/11 11:00,428.85,429,427,118.79,118,70,48,0,2
11/17/2025 12:00,17/11 12:00,428.85,429,427,121.23,114.82,70,44.82,0,2
11/17/2025 13:00,17/11 13:00,428.85,429,427,118.83,110.68,70,40.68,0,2
